Run,Name,Annual_Res,"Climate change, short term",Total human health,Total ecosystem quality,"Climate change, short term (ratio)",Total human health (ratio),Total ecosystem quality (ratio),Annual_Res (ratio)
0,ACETIC_ACID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,ACETONE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,BENZENE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,BIO_DIESEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,COAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,DIESEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,ELECTRICITY_EHV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,ELEC_EXPORT,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
0,ETHANE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,ETHANOL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,ETHYLBENZENE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,ETHYLENE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,GASOLINE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,H2_EHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,H2_HP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,H2_LP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,H2_MP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,JETFUEL,4990.863908439989,336548290.9508381,1949.9927863916241,272442327.007399,0.9488063952831571,0.9534187438223255,0.9466294033471291,0.01642906874913916
0,LFO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,LNG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,METHANOL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,NG_EHP,426.2523033177009,18158731.075926647,95.27095425391903,15360192.16651088,0.0511936047168428,0.046581256177674585,0.05337059665287087,0.0014031495396704483
0,NG_HP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,NG_LP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,NG_MP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,PE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,PET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,PHENOL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,PP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,PROPANE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,PROPYLENE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,PS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,PVC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,SNG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,STYRENE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,TOLUENE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,URANIUM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,WASTE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,WASTE_BIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,WASTE_FOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,WET_BIOMASS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,WOOD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,XYLENE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
